Gen  0||| | | |y|e|a|r| | |
 4 -> | 2004.03 | 9.63158 | 0.30263 | 1.00000 | 0.59211 | 3.15789 | 9.77632 | 5.89474 | 42.0526 | 142.368 | 
 5 -> | 1999.91 | 7.11933 | 0.10093 | 0.91520 | 0.04505 | 2.83113 | 7.49945 | 5.80255 | 2.00801 | 3.12872 | 

Gen  6||| | | |y|e|a|r| | |
 0 -> | 2002.67 | 8.42857 | 0.54762 | 1.00000 | 0.40476 | 3.00000 | 11.5238 | 6.00000 | 63.0714 | 291.524 | 
 1 -> | 2007.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 2016.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 1.00000 | 6.00000 | 383.000 | 200.000 | 
 3 -> | 1998.45 | 8.60000 | 0.40000 | 1.00000 | 0.25000 | 3.35000 | 3.60000 | 5.65000 | 28.4000 | 151.900 | 
 4 -> | 2002.92 | 9.18644 | 0.45763 | 1.00000 | 0.45763 | 3.37288 | 11.3729 | 5.79661 | 39.0678 | 154.288 | 
 5 -> | 1999.95 | 7.13450 | 0.10165 | 0.91838 | 0.04353 | 2.84195 | 7.48045 | 5.80277 | 2.00095 | 3.29759 | 

Gen  7||| | | |y|e|a|r| | |
 0 -> | 2005.50 | 9.00000 | 0.50000 | 1.00000 | 0.00000 | 3.00000 | 16.5000 | 6.00000 | 92.6500 | 348.000 | 
 1 -> | 2007.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 2016.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 1.00000 | 6.00000 | 383.000 | 200.000 | 
 3 -> | 1998.45 | 8.60000 | 0.40000 | 1.00000 | 0.25000 | 3.35000 | 3.60000 | 5.65000 | 28.4000 | 151.900 | 
 4 -> | 2004.29 | 9.17241 | 0.34483 | 1.00000 | 0.50000 | 3.25862 | 9.89655 | 5.91379 | 46.7759 | 185.414 | 
 5 -> | 1999.88 | 7.13769 | 0.10239 | 0.91798 | 0.04327 | 2.84686 | 7.51044 | 5.80314 | 2.06694 | 3.48311 | 

Gen  8||| | | |y|e|a|r| | |
 0 -> | 2004.00 | 8.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 63.1000 | 450.000 | 
 1 -> | 2007.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 2016.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 1.00000 | 6.00000 | 383.000 | 200.000 | 
 3 -> | 1998.45 | 8.60000 | 0.40000 | 1.00000 | 0.25000 | 3.35000 | 3.60000 | 5.65000 | 28.4000 | 151.900 | 
 4 -> | 2003.70 | 8.87879 | 0.33333 | 1.00000 | 0.42424 | 3.36364 | 9.66667 | 5.87879 | 60.3333 | 224.606 | 
 5 -> | 1999.93 | 7.17020 | 0.10487 | 0.91924 | 0.04472 | 2.85452 | 7.51553 | 5.80276 | 2.06610 | 3.56454 | 

Gen  9||| | | |y|e|a|r| | |
 0 -> | 2004.00 | 8.00000 | 1.00000 | 1.00000 | 0.00000 | 3.00000 | 19.0000 | 6.00000 | 63.2222 | 450.000 | 
 1 -> | 2007.00 | 6.00000 | 0.00000 | 1.00000 | 0.00000 | 6.00000 | 10.0000 | 5.00000 | 1.00000 | 0.00000 | 
 2 -> | 2016.00 | 10.0000 | 0.00000 | 1.00000 | 1.00000 | 3.00000 | 1.00000 | 6.00000 | 383.000 | 200.000 | 
 3 -> | 1998.45 | 8.60000 | 0.40000 | 1.00000 | 0.25000 | 3.35000 | 3.60000 | 5.65000 | 28.4000 | 151.900 | 
 4 -> | 2007.69 | 10.0000 | 0.00000 | 1.00000 | 0.07692 | 3.00000 | 13.0000 | 6.00000 | 140.231 | 242.462 | 
 5 -> | 2000.01 | 7.20072 | 0.10609 | 0.92088 | 0.04535 | 2.86542 | 7.50679 | 5.81180 | 2.15560 | 3.80470 | 
