Gen  0|   year  | multiple| success | suicide |  kills  |  wound  |
 3 -> | 2000.56 | 6.64000 | 0.16000 | 1.00000 | 0.00000 | 3.08000 | 12.1200 | 6.32000 | 1.36000 | 77.9600 | 
 4 -> | 2009.93 | 8.67173 | 0.15495 | 0.98323 | 0.34505 | 2.85703 | 8.53834 | 5.91534 | 8.46246 | 19.7939 | 
 5 -> | 1987.07 | 6.24721 | 0.10859 | 0.90101 | 0.01842 | 2.85813 | 7.10678 | 5.87902 | 2.71927 | 5.31763 | 

Gen  6|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2013.19 | 7.68228 | 0.12247 | 0.87458 | 0.02722 | 2.86857 | 7.87985 | 5.81909 | 0.78059 | 0.73892 | 
 1 -> | 2014.29 | 8.87516 | 0.14911 | 0.94972 | 0.09926 | 2.81188 | 9.12614 | 5.87256 | 2.30516 | 5.93108 | 
 2 -> | 2005.75 | 7.73989 | 0.06753 | 0.94660 | 0.05654 | 2.92638 | 7.97546 | 5.74009 | 1.39183 | 1.54299 | 
 3 -> | 2000.56 | 6.64000 | 0.16000 | 1.00000 | 0.00000 | 3.08000 | 12.1200 | 6.32000 | 1.36000 | 77.9600 | 
 4 -> | 2009.80 | 8.66156 | 0.13931 | 0.98177 | 0.35959 | 2.87090 | 8.24216 | 5.91612 | 8.35303 | 19.6922 | 
 5 -> | 1987.03 | 6.26813 | 0.11007 | 0.90114 | 0.01748 | 2.86925 | 7.08180 | 5.87624 | 2.67231 | 5.24812 | 

Gen  7|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2013.20 | 7.66241 | 0.11604 | 0.87533 | 0.02300 | 2.87097 | 7.93942 | 5.81955 | 0.75365 | 0.72362 | 
 1 -> | 2014.24 | 8.78657 | 0.14329 | 0.94492 | 0.09552 | 2.80551 | 9.04432 | 5.86747 | 2.33993 | 5.85585 | 
 2 -> | 2005.75 | 7.73701 | 0.07461 | 0.94783 | 0.05669 | 2.94567 | 8.02559 | 5.75866 | 1.36437 | 1.54291 | 
 3 -> | 2000.56 | 6.64000 | 0.16000 | 1.00000 | 0.00000 | 3.08000 | 12.1200 | 6.32000 | 1.36000 | 77.9600 | 
 4 -> | 2009.79 | 8.71209 | 0.14359 | 0.98681 | 0.34725 | 2.86081 | 8.33040 | 5.91941 | 8.27985 | 19.4703 | 
 5 -> | 1986.95 | 6.29840 | 0.10654 | 0.90233 | 0.01751 | 2.86456 | 7.05264 | 5.87499 | 2.63067 | 5.09527 | 

Gen  8|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2013.20 | 7.66234 | 0.11699 | 0.86949 | 0.02416 | 2.86417 | 7.93038 | 5.81914 | 0.72578 | 0.70588 | 
 1 -> | 2014.33 | 8.80899 | 0.14690 | 0.94798 | 0.09655 | 2.81939 | 9.07574 | 5.85435 | 2.44819 | 5.66500 | 
 2 -> | 2005.77 | 7.76057 | 0.07608 | 0.94968 | 0.05720 | 2.94378 | 8.13996 | 5.74425 | 1.36033 | 1.55829 | 
 3 -> | 2000.56 | 6.64000 | 0.16000 | 1.00000 | 0.00000 | 3.08000 | 12.1200 | 6.32000 | 1.36000 | 77.9600 | 
 4 -> | 2009.70 | 8.65564 | 0.12256 | 0.98722 | 0.33759 | 2.86842 | 8.60977 | 5.90977 | 8.35564 | 19.4549 | 
 5 -> | 1986.95 | 6.30926 | 0.10982 | 0.90155 | 0.01678 | 2.88422 | 7.01588 | 5.88952 | 2.64119 | 5.12871 | 

Gen  9|   year  | multiple| success | suicide |  kills  |  wound  |
 0 -> | 2013.20 | 7.69025 | 0.12041 | 0.87193 | 0.02510 | 2.86927 | 8.01106 | 5.81874 | 0.73386 | 0.70429 | 
 1 -> | 2014.30 | 8.87299 | 0.14903 | 0.94920 | 0.09568 | 2.83108 | 9.17528 | 5.85986 | 2.47925 | 5.72862 | 
 2 -> | 2005.76 | 7.74041 | 0.07592 | 0.94286 | 0.06603 | 2.93555 | 8.02372 | 5.74100 | 1.36813 | 1.56979 | 
 3 -> | 2000.56 | 6.64000 | 0.16000 | 1.00000 | 0.00000 | 3.08000 | 12.1200 | 6.32000 | 1.36000 | 77.9600 | 
 4 -> | 2009.88 | 8.73525 | 0.12878 | 0.98129 | 0.34173 | 2.84748 | 8.78345 | 5.90719 | 8.45468 | 19.4835 | 
 5 -> | 1986.99 | 6.32965 | 0.11287 | 0.90222 | 0.01702 | 2.90944 | 7.05286 | 5.90066 | 2.65550 | 5.08954 | 
